movie_name,director,year,jump_count,is_netflix,imdb_rating
The Exorcism of Emily Rose,Scott Derrickson,2005,8,No,6.7
The Exorcist,William Friedkin,1973,10,No,8
The Exorcist III,William Peter Blatty,1990,11,No,6.3
The Eye,"Danny Pang, Oxide Chun Pang",2002,5,No,6.7
The Eyes of My Mother,Nicolas Pesce,2016,0,Yes,6.3
The Faculty,Robert Rodriguez,1998,11,No,6.4
The Final Destination,David R. Ellis,2009,4,No,5.2
The Final Girls,Todd Strauss-Schulson,2015,8,No,6.7
The First Purge,Gerard McMurray,2018,8,No,5.2
The Fly,David Cronenberg,1986,2,No,7.5
The Fog,John Carpenter,1980,16,No,6.8
The Forest,Jason Zada,2016,13,No,4.8
The Forgotten,Joseph Ruben,2004,7,No,5.8
The Fourth Kind,Olatunde Osunsanmi,2009,3,No,5.9
The Gallows,Travis Cluff & Chris Lofing,2015,21,No,4.2
The Gift,Joel Edgerton,2015,5,No,7.1
The Girl with All the Gifts,Colm McCarthy,2016,3,No,6.8
The Good Neighbor,Kasra Farahani,2016,7,Yes,6.3
The Gracefield Incident,Mathieu Ratthe,2017,10,No,4.1
The Green Inferno,Eli Roth,2013,4,No,5.3
The Grudge,Nicholas Pesce,2020,19,No,4.2
The Grudge,Takashi Shimizu,2004,23,No,5.9
The Guest,Adam Wingard,2014,5,No,6.7
The Hallow,Corin Hardy,2015,18,No,5.7
The Happening,M. Night Shyamalan,2008,1,No,5
The Harvest,John McNaughton,2013,0,No,5.9
The Haunting,Robert Wise,1963,3,No,7.6
The Haunting in Connecticut,Peter Cornwell,2009,26,No,5.9
The Haunting in Connecticut 2: Ghosts of Georgia,Tom Elkins,2013,32,No,5.3
The Heretics,Chad Archibald,2017,4,Yes,4.7
The Hills Have Eyes,Alexandre Aja,2006,9,No,6.4
The Hole,Nick Hamm,2001,3,No,6.2
The House of the Devil,Ti West,2009,4,No,6.4
The House on Pine Street,"Aaron Keeling, Austin Keeling",2015,5,No,5.3
The House with a Clock in Its Walls,Eli Roth,2018,8,No,6.2
The Howling,Joe Dante,1981,10,No,6.6
The Human Centipede – First Sequence,Tom Six,2009,4,No,4.4
The Hunt,Craig Zobel,2020,4,No,6.4
